categoria,media_review
agro_industria_e_comercio,"4,0"
alimentos,"4,22"
alimentos_bebidas,"4,32"
artes,"3,94"
artes_e_artesanato,"4,12"
artigos_de_festas,"3,77"
artigos_de_natal,"4,02"
audio,"3,83"
automotivo,"4,07"
bebes,"4,01"
bebidas,"4,05"
beleza_saude,"4,14"
brinquedos,"4,16"
cama_mesa_banho,"3,9"
casa_conforto,"3,83"
casa_conforto_2,"3,63"
casa_construcao,"3,94"
cds_dvds_musicais,"4,64"
cine_foto,"4,21"
climatizacao,"3,97"
consoles_games,"4,02"
construcao_ferramentas_construcao,"4,05"
construcao_ferramentas_ferramentas,"4,44"
construcao_ferramentas_iluminacao,"4,05"
construcao_ferramentas_jardim,"4,05"
construcao_ferramentas_seguranca,"3,84"
cool_stuff,"4,15"
dvds_blu_ray,"4,08"
eletrodomesticos,"4,17"
eletrodomesticos_2,"4,14"
eletronicos,"4,04"
eletroportateis,"4,15"
esporte_lazer,"4,11"
fashion_bolsas_e_acessorios,"4,14"
fashion_calcados,"4,23"
fashion_esporte,"4,26"
fashion_roupa_feminina,"3,78"
fashion_roupa_infanto_juvenil,"4,5"
fashion_roupa_masculina,"3,64"
fashion_underwear_e_moda_praia,"3,98"
ferramentas_jardim,"4,04"
flores,"4,42"
fraldas_higiene,"3,26"
industria_comercio_e_negocios,"4,1"
informatica_acessorios,"3,93"
instrumentos_musicais,"4,15"
la_cuisine,"4,0"
livros_importados,"4,4"
livros_interesse_geral,"4,45"
livros_tecnicos,"4,37"
malas_acessorios,"4,32"
market_place,"4,02"
moveis_colchao_e_estofado,"3,82"
moveis_cozinha_area_de_servico_jantar_e_jardim,"3,96"
moveis_decoracao,"3,9"
moveis_escritorio,"3,49"
moveis_quarto,"4,12"
moveis_sala,"3,9"
musica,"4,21"
papelaria,"4,19"
pc_gamer,"3,33"
pcs,"4,18"
perfumaria,"4,16"
pet_shop,"4,19"
portateis_casa_forno_e_cafe,"4,3"
portateis_cozinha_e_preparadores_de_alimentos,"3,27"
relogios_presentes,"4,02"
seguros_e_servicos,"2,5"
sinalizacao_e_seguranca,"4,09"
tablets_impressao_imagem,"4,12"
telefonia,"3,95"
telefonia_fixa,"3,68"
utilidades_domesticas,"4,06"
